ANUP,20200127,564,598,564,577.55,26804,0
APARINDS,20200127,410,418.8,405,407.75,38214,0
APCL,20200127,165,165.65,157.15,162.8,8155,0
APCOTEXIND,20200127,167.5,171.2,159,160.5,227211,0
APEX,20200127,401,401.55,386.75,389.25,206300,0
APLAPOLLO,20200127,2190,2219,2055,2069.4,225029,0
APLLTD,20200127,590,633.5,590,614.6,1081047,0
APOLLO,20200127,78.6,79.45,77.55,77.8,13578,0
APOLLOHOSP,20200127,1668,1713,1662,1696.05,791549,0
APOLLOPIPE,20200127,401.8,404.95,386,394.6,11450,0
APOLLOTYRE,20200127,177,178.35,174.05,174.75,1465065,0
APOLSINHOT,20200127,745,755,736.25,751.5,1253,0
APTECHT,20200127,175.65,176.9,173.1,173.45,184613,0
ARCHIDPLY,20200127,31.65,31.65,31,31.1,10365,0
ARCHIES,20200127,18.45,18.65,17.85,18.1,25747,0
ARCOTECH,20200127,2,2.1,2,2,13688,0
ARIES,20200127,72.9,77.7,72.25,74.25,113035,0
ARIHANT,20200127,24.4,24.4,22.15,23,1888,0
ARIHANTSUP,20200127,30,30,28.35,30,2445,0
ARMANFIN,20200127,768,768,752.1,759.9,5315,0
AROGRANITE,20200127,41.85,41.85,37.5,38.65,17781,0
ARROWGREEN,20200127,51.2,51.8,49.1,50.9,1596,0
ARROWTEX,20200127,9.45,10,9.45,9.6,3686,0
ARSHIYA,20200127,17,17.15,16.65,16.65,17267,0
ARSSINFRA,20200127,21,21,20.7,20.7,17215,0
ARTEMISMED,20200127,237,237,237,237,20,0
ARVIND,20200127,43.75,44.2,43.3,43.7,669726,0
ARVINDFASN,20200127,403.2,407,397.55,403.8,17636,0
ARVSMART,20200127,92.45,94,91.5,92.55,2978,0
ASAHIINDIA,20200127,246.4,254.2,245,249.9,21757,0
ASAHISONG,20200127,159.35,159.4,154.05,154.75,22395,0
ASAL,20200127,32.9,33.5,32.4,32.85,8276,0
ASHAPURMIN,20200127,34.5,35.85,33.25,33.95,180809,0
ASHIANA,20200127,117.6,119,114.7,114.95,30316,0
ASHIMASYN,20200127,7.85,8,7.6,7.7,13445,0
ASHOKA,20200127,117,119.45,115.75,116.2,396794,0
ASHOKLEY,20200127,85.8,87,85,85.4,9090936,0
ASIANHOTNR,20200127,92.2,92.9,87.15,90.1,1542,0
ASIANPAINT,20200127,1787,1805.75,1780,1788.35,969054,0
ASIANTILES,20200127,219,219,215.25,216.75,13025,0
ASPINWALL,20200127,156.9,156.9,155.15,156.9,423,0
ASTEC,20200127,493,500,481.05,485.65,5816,0
ASTERDM,20200127,165,169.45,163,168.2,417756,0
ASTRAL,20200127,1114.9,1165,1107.4,1148.4,245012,0
ASTRAMICRO,20200127,92.25,93.2,90.25,91.05,511276,0
ASTRAZEN,20200127,2520,2619.9,2495,2548.9,34218,0
ASTRON,20200127,40,40.6,38.6,38.9,32604,0
ATFL,20200127,695.05,721,680.05,706.85,11770,0
ATLANTA,20200127,6.1,6.2,5.9,6.15,8999,0
ATLASCYCLE,20200127,51,54,50.35,51.2,2305,0
ATNINTER,20200127,0.1,0.1,0.1,0.1,13491,0
ATUL,20200127,4614,4983.3,4508.15,4917.6,99167,0
ATULAUTO,20200127,265.75,274.75,255.8,257.65,47524,0
AUBANK,20200127,1080,1105,999,1022.05,2719116,0
AURIONPRO,20200127,60.1,61.5,58,58.4,19151,0
AUROPHARMA,20200127,499.6,518,498.2,511,4841528,0
AUSOMENT,20200127,38.6,38.6,36.05,38.1,500,0
AUTOAXLES,20200127,865,869,850.1,859.1,3047,0
AUTOIND,20200127,24.3,25.8,24.3,24.8,3197,0
AUTOLITIND,20200127,23.9,24.75,23.65,24,2961,0
AVADHSUGAR,20200127,309.1,315.95,302.3,304.8,133016,0
AVANTIFEED,20200127,709,709,684,688.5,453340,0
AVTNPL,20200127,36.55,38.6,35.75,37.7,341281,0
AXISBANK,20200127,732.45,748.45,731,740.25,9170435,0
AXISCADES,20200127,71.65,78.4,71.65,75.4,288832,0
AXISGOLD,20200127,3550,3578.8,3532.05,3562.25,897,0
AXISNIFTY,20200127,1262.05,1263.65,1257.83,1257.83,59,0
AYMSYNTEX,20200127,34.35,35.85,33.25,35,16820,0
BAGFILMS,20200127,1.95,1.95,1.85,1.9,14216,0
BAJAJ-AUTO,20200127,3069.8,3122.95,3044.05,3082.6,308445,0
BAJAJCON,20200127,233,233,228.55,229.1,149354,0
BAJAJELEC,20200127,380.9,383.6,373.5,380.25,143627,0
BAJAJFINSV,20200127,9590,9648.9,9535,9557.6,113128,0
BAJAJHIND,20200127,6.75,6.8,6.5,6.55,1713956,0
BAJAJHLDNG,20200127,3330,3372.75,3290,3302.6,20718,0
BAJFINANCE,20200127,4174,4208,4154,4164.35,782155,0
BALAJITELE,20200127,53.25,55,52.5,54.35,63189,0
BALAMINES,20200127,467.95,469,454.8,457.65,24479,0
BALAXI,20200127,68.2,72.8,66.3,72.25,1798,0
BALKRISHNA,20200127,17.8,18.6,17.2,17.95,5049,0
BALKRISIND,20200127,1101,1110.5,1069,1074.4,456809,0
BALLARPUR,20200127,0.5,0.55,0.45,0.5,1010837,0
BALMLAWRIE,20200127,123.6,125,123,123.2,50263,0
BALPHARMA,20200127,47.85,53.6,46.1,52.8,235911,0
BALRAMCHIN,20200127,177.05,179.8,170,172.5,830964,0
BANARBEADS,20200127,34.4,34.9,33.05,34,838,0
BANARISUG,20200127,1560,1560,1475,1487.9,363,0
BANCOINDIA,20200127,104.5,107,103.5,105.35,25691,0
BANDHANBNK,20200127,478.4,484.4,473.9,474.6,943592,0
BANG,20200127,24,24,22.15,23.05,4188,0
BANKBARODA,20200127,93.25,93.9,92,92.35,44570494,0
BANKBEES,20200127,319.57,319.57,315.2,315.52,61506,0
BANKINDIA,20200127,67,67.45,66.8,66.95,1099606,0
BANSWRAS,20200127,127.45,128.55,120,126.45,9911,0
BARTRONICS,20200127,1.35,1.35,1.35,1.35,2100,0
BASF,20200127,1002.5,1051,1000,1014.4,46767,0
BASML,20200127,135.05,142,133.1,135.9,1126,0
BATAINDIA,20200127,1839,1866,1831.2,1850.6,793831,0
BAYERCROP,20200127,4139.9,4199.7,4120.35,4147.55,4076,0
BBL,20200127,882,883.15,857,862.3,8028,0
BBTC,20200127,1190,1235,1177,1187.85,256156,0
BCG,20200127,4.95,5.3,4.95,4.95,401570,0
BCP,20200127,22.6,22.6,20.5,22.05,56987,0
BDL,20200127,298.5,302.9,297.5,298.55,42825,0
BEARDSELL,20200127,9.45,9.7,9.45,9.5,366,0
BEDMUTHA,20200127,16.3,16.3,16.2,16.2,100,0
BEL,20200127,101.7,103.5,101,101.65,8059121,0
BEML,20200127,985,1005,985,991.7,209223,0
BEPL,20200127,52,53.8,51,52.5,370057,0
BERGEPAINT,20200127,562,569.5,557.35,560.65,938184,0
BFINVEST,20200127,321.7,323.55,320,320.25,26717,0
BFUTILITIE,20200127,338.95,339.8,324.6,327.95,131018,0
BGLOBAL,20200127,1.25,1.3,1.25,1.3,1568,0
BGRENERGY,20200127,39,45.8,38.75,42.35,2879054,0
BHAGERIA,20200127,117.3,118.5,110,111.95,42884,0
BHAGYANGR,20200127,23.95,23.95,22.1,22.75,14185,0
BHAGYAPROP,20200127,23.5,24.55,22.7,23.05,7744,0
BHANDARI,20200127,1.35,1.35,1.1,1.2,445178,0
BHARATFORG,20200127,521.5,524.9,504,508.95,914230,0
BHARATGEAR,20200127,68,69.9,66.3,68.9,2499,0
BHARATRAS,20200127,6414.15,6530,6414.15,6447.75,1037,0
BHARATWIRE,20200127,28.55,28.9,28.2,28.2,9416,0
BHARTIARTL,20200127,521.15,524.1,511.9,514.4,11638278,0
BHEL,20200127,44.7,44.95,43.8,43.95,13164355,0
BIGBLOC,20200127,37.5,39.5,37.5,39.5,325,0
BIL,20200127,180.9,186,176.3,177.5,443,0
BILENERGY,20200127,0.95,0.95,0.9,0.95,78022,0
BINDALAGRO,20200127,14.9,15.7,14.55,15.2,70606,0
BIOCON,20200127,289,297.9,286,290.1,4281963,0
BIOFILCHEM,20200127,12,12.85,12,12.45,9234,0
BIRLACABLE,20200127,59.45,60,58.1,58.65,54262,0
BIRLACORPN,20200127,765,778.5,750.55,753.3,73879,0
BIRLAMONEY,20200127,35.95,35.95,34.7,34.9,64742,0
BKMINDST,20200127,0.55,0.55,0.55,0.55,2400,0
BLBLIMITED,20200127,4.85,5,4.75,5,20206,0
BLISSGVS,20200127,143.7,145,142.85,144.25,621435,0
BLKASHYAP,20200127,8.9,9.2,8.9,9,19599,0
BLS,20200127,69,70.15,68.4,68.85,21335,0
BLUEBLENDS,20200127,0.7,0.75,0.7,0.75,172,0
BLUECHIP,20200127,0.1,0.1,0.1,0.1,6591,0
BLUECOAST,20200127,4.9,4.9,4.9,4.9,1,0
BLUEDART,20200127,2730,2778.85,2720,2727.8,3003,0
BLUESTARCO,20200127,839,852.9,829.8,842.25,41215,0
BODALCHEM,20200127,74,75.5,72.1,72.75,253712,0
BOMDYEING,20200127,87.8,96.3,87.7,92.2,11884388,0
BOROSIL,20200127,172.8,184,172.2,178.6,245088,0
BOSCHLTD,20200127,14939.9,15098.65,14840,14881.85,6658,0
BPCL,20200127,466.5,471.8,463,467.75,4414483,0
BPL,20200127,22.4,22.7,21.6,21.85,91471,0
BRFL,20200127,4.15,4.15,4,4.1,66985,0
BRIGADE,20200127,225.3,229.6,223.9,226.1,45970,0
BRITANNIA,20200127,3187,3210,3155,3174.2,322446,0
BRNL,20200127,67.1,69.7,65.05,67.55,3490,0
BROOKS,20200127,38.35,39.6,37.75,38.3,27449,0
BSE,20200127,546.5,555.55,538.1,541.4,194410,0
BSELINFRA,20200127,1,1.05,1,1.05,20157,0
BSL,20200127,38.4,38.9,37.1,37.5,8695,0
BSLGOLDETF,20200127,3701,3749,3698,3723.15,221,0
BSLNIFTY,20200127,133,133.2,132.35,132.35,29,0
BSOFT,20200127,72.3,73.8,72.1,72.6,323726,0
BURNPUR,20200127,1.2,1.25,1.15,1.2,50554,0
BUTTERFLY,20200127,274,277.5,258,259.65,104217,0
BVCL,20200127,12.9,12.9,12.1,12.1,1760,0
BYKE,20200127,21.8,22.25,20.65,21.6,19866,0
CADILAHC,20200127,270.1,275.6,269.2,273.35,2905584,0
CALSOFT,20200127,13.65,14.35,13.5,14.35,80544,0
CAMLINFINE,20200127,81.3,83,80.5,81.4,297186,0
CANBK,20200127,215.9,217.15,208.95,210.35,6494563,0
CANFINHOME,20200127,471,475,462.6,470.1,353739,0
CANTABIL,20200127,263.05,265.4,260.45,262.45,40325,0
CAPACITE,20200127,198.8,200.4,196,199.55,26169,0
CAPLIPOINT,20200127,290.1,292.85,285,286.9,68756,0
CAPTRUST,20200127,161.5,161.5,150.1,158.55,2963,0
CARBORUNIV,20200127,344,353.95,342,348.25,58986,0
CAREERP,20200127,130.45,130.45,124.15,124.85,26836,0
CARERATING,20200127,653.9,674.3,651,664,479680,0
CASTEXTECH,20200127,0.3,0.4,0.3,0.35,37316,0
CASTROLIND,20200127,129.5,131.5,127.55,129.05,2191439,0
CCHHL,20200127,3.25,3.25,3.1,3.15,10751,0
CCL,20200127,197.4,198,192.3,193.2,108291,0
CDSL,20200127,265.5,276,259.95,268.35,891912,0
CEATLTD,20200127,1006,1010.1,997,999.1,54370,0
CEBBCO,20200127,15.8,15.9,15.1,15.2,42202,0
CELEBRITY,20200127,6.15,6.4,6.05,6.3,7896,0
CELESTIAL,20200127,2.75,2.9,2.75,2.9,2200,0
CENTENKA,20200127,200.2,205.9,198,200.05,80224,0
CENTEXT,20200127,3.25,3.3,3.15,3.15,57366,0
CENTRALBK,20200127,19.15,22.4,19.1,20.05,1530423,0
CENTRUM,20200127,22.15,23.9,22.15,23,99320,0
CENTUM,20200127,414.95,416.95,400.1,410.1,1205,0
CENTURYPLY,20200127,170,174.55,168.4,171.7,298335,0
CENTURYTEX,20200127,623,647.5,613.05,619.25,4265221,0
CERA,20200127,2655,2710,2650.15,2683.2,5736,0
CEREBRAINT,20200127,28.25,28.25,27.6,28.25,110078,0
CESC,20200127,749,766.7,744,746.6,308032,0
CESCVENT,20200127,351,357,346.05,349.65,10659,0
CGCL,20200127,184.05,195.3,182.2,193.15,528722,0
CHALET,20200127,340,344,334.05,338.7,7214,0
CHAMBLFERT,20200127,173.35,181.75,173,178.55,2141630,0
CHEMBOND,20200127,230,237,224,226,1617,0
CHEMFAB,20200127,190,190.85,184.5,184.95,2669,0
CHENNPETRO,20200127,144.95,145.9,141.45,142,148760,0
CHOLAFIN,20200127,323.05,336.8,323.05,329.45,4961789,0
CHOLAHLDNG,20200127,548.2,568.75,548.2,558.5,83606,0
CHROMATIC,20200127,0.5,0.55,0.5,0.55,35000,0
CIGNITITEC,20200127,285,285,274,277.8,10670,0
CIMMCO,20200127,24.9,24.9,24,24.2,21198,0
CINELINE,20200127,39,39.8,38.5,38.65,23853,0
CINEVISTA,20200127,7.7,7.7,7.6,7.7,804,0
CIPLA,20200127,457.5,466.5,454.2,464.45,5849003,0
CKFSL,20200127,0.35,0.4,0.35,0.4,58229,0
CLEDUCATE,20200127,77.6,77.7,75,75.6,3341,0
CLNINDIA,20200127,405.55,412.5,402.3,408.75,26502,0
CMICABLES,20200127,47.9,49.15,47,47.6,12619,0
CNOVAPETRO,20200127,7.25,7.65,7.25,7.6,520,0
COALINDIA,20200127,193.95,195,192,193.35,7195361,0
COCHINSHIP,20200127,395.9,395.9,390,391.25,155114,0
COLPAL,20200127,1511,1517,1475.05,1482.8,296520,0
COMPINFO,20200127,19.85,21,19.55,20.45,191415,0
COMPUSOFT,20200127,7.4,7.6,7.4,7.45,14044,0
CONCOR,20200127,559,574.5,557,570.2,1280402,0
CONFIPET,20200127,27.35,28.4,27.25,27.6,269065,0
CONSOFINVT,20200127,38,38,37.7,37.7,1500,0
CONTROLPR,20200127,294.95,300.95,274.55,278.25,19490,0
CORALFINAC,20200127,11.75,12.05,10.9,11,13383,0
CORDSCABLE,20200127,52.8,52.8,48.75,50,47959,0
COROMANDEL,20200127,604,610,596.25,603.45,155986,0
CORPBANK,20200127,24.05,24.25,23.7,23.75,364908,0
COSMOFILMS,20200127,279,282.9,272.5,278.55,31449,0
COUNCODOS,20200127,1.65,1.65,1.55,1.6,4994,0
CPSEETF,20200127,21.6,21.94,21.6,21.74,1155758,0
CREATIVE,20200127,109.95,110,107,110,3274,0
CREATIVEYE,20200127,1.7,1.7,1.7,1.7,100,0
CREDITACC,20200127,835.9,864.7,822.3,848.45,168824,0
CREST,20200127,98.3,104.9,95.05,98.95,8144,0
CRISIL,20200127,1802,1820.9,1782,1789.85,11231,0
CROMPTON,20200127,262.4,267,260.3,261.9,264073,0
CSBBANK,20200127,198,202.75,196.1,196.75,300923,0
CTE,20200127,26.5,27.45,26.45,27.1,8889,0
CUB,20200127,235,238.9,234.3,235.95,1162884,0
CUBEXTUB,20200127,13.45,13.85,12.9,13.05,1662,0
CUMMINSIND,20200127,594,608.95,590.15,605.25,1922343,0
CUPID,20200127,239,243,232.15,236.05,48536,0
CYBERMEDIA,20200127,2.05,2.05,2.05,2.05,1210,0
CYBERTECH,20200127,44.6,45.95,44.1,45.15,12907,0
CYIENT,20200127,491.5,499,486.35,491.55,605950,0
DAAWAT,20200127,28.5,28.75,28,28.2,617743,0
DABUR,20200127,500.4,505.85,491.65,493.2,1640739,0
DALBHARAT,20200127,865.95,873,856.55,861.1,60336,0
DALMIASUG,20200127,121.6,123.85,119,120,187451,0
DAMODARIND,20200127,34.3,34.3,31,31.7,4555,0
DATAMATICS,20200127,78,82,75.5,77.65,131462,0
DBCORP,20200127,141.85,143.85,139.5,140.15,87099,0
DBL,20200127,416.7,420,408,408.8,114423,0
DBREALTY,20200127,12,12.1,11.45,11.6,36254,0
DBSTOCKBRO,20200127,10.95,11,10.95,11,48,0
DCAL,20200127,82.85,84.9,82.85,83.65,374231,0
DCBBANK,20200127,178.3,186.1,177,181.95,1406104,0
DCM,20200127,24.75,24.75,22.7,23.25,7266,0
DCMNVL,20200127,34,35.9,34,34.5,9119,0
DCMSHRIRAM,20200127,394.15,400,378.65,386.75,253337,0
DCW,20200127,15.75,16.15,15.7,15.85,154981,0
DECCANCE,20200127,343.05,348.25,332.35,338,5671,0
DEEPAKFERT,20200127,122,126.65,120.25,121.25,2452184,0
DEEPAKNTR,20200127,398,404.9,397,399.85,251055,0
DEEPIND,20200127,118.15,118.15,114.1,115.1,15452,0
DELTACORP,20200127,194.75,194.75,186.1,188.85,1049526,0
DELTAMAGNT,20200127,38.85,38.85,36,37.9,1568,0
DEN,20200127,55,55,52,52.45,32559,0
DENORA,20200127,232.5,239.7,230,231.85,10059,0
DFMFOODS,20200127,288.7,304.95,287.5,296.8,507603,0
DGCONTENT,20200127,5.45,5.95,5.45,5.55,740,0
DHAMPURSUG,20200127,215.9,215.9,209.1,209.75,815110,0
DHANBANK,20200127,14.95,15.2,14.9,15.05,138751,0
DHANUKA,20200127,470.95,470.95,456.05,461.25,20708,0
DHARSUGAR,20200127,7.45,7.7,7.35,7.4,12306,0
DHFL,20200127,15.95,16,15.65,15.75,1663317,0
